Nom_echantillons	Id	Couple	Type	Zone	Cross	pH_eau	pH_KCl	Pi	Azote_total	Calcaire_total	Carbone_total	Carbone_organique_total	C/N	Matiere_organique	Calcium	Magnesium	Manganese	Potassium	Argiles	Limons	Sables
HVHB1	26	2	Plante	Hors brule	Plante_Hors brule	8	7.15	5.36564962	4.844842851	91	63.78861904	52.9	10.9	91.5	60.37	1.76	0.0377	0.8464	457	427	116
HVB2	27	2	Plante	Brule	Plante_Brule	8.16	7.18	2.39303726	2.935166955	62	38.26848745	30.8	10.5	53.3	59.97	1.968	0.02	0.8562	424	496	80
HVHB2	28	2	Plante	Hors brule	Plante_Hors brule	8.18	7.23	2.56933332	2.978005409	95	43.92025471	32.5	10.9	56.2	60.4	1.984	0.0225	0.819	461	438	101
HVB3	29	2	Plante	Brule	Plante_Brule	8.21	7.36	5.78921717	3.780169785	379	79.41	33.9	8.97	58.6	56.37	1.599	0.0173	0.6219	306	499	195
HVHB3	30	2	Plante	Hors brule	Plante_Hors brule	8.11	7.34	3.95947162	3.688625395	342	79.61156368	38.6	10.5	66.8	55.91	1.591	0.0207	0.5788	344	467	189
HVB4	31	2	Plante	Brule	Plante_Brule	8.12	7.37	7.21444073	3.891299069	347	79.80596542	38.2	9.82	66.1	57.24	1.674	0.015	0.5568	262	529	209
HVHB4	32	2	Plante	Hors brule	Plante_Hors brule	8.14	7.36	4.6980827	3.982941508	363	85.56612968	42	10.5	72.7	56.84	1.698	0.0244	0.5264	305	505	190
LGB1	33	3	Plante	Brule	Plante_Brule	8.37	7.6	10.0874003	1.859302223	531	85.73202133	22	12	38.1	41.74	2.285	0.0308	0.6506	275	400	325
LGHB1	34	3	Plante	Hors brule	Plante_Hors brule	8.24	7.58	12.6253305	1.887323856	513	83.48472595	21.9	12	37.9	42.08	2.419	0.0371	0.6384	287	410	303
LGB2	35	3	Plante	Brule	Plante_Brule	8.31	7.54	3.39195479	1.559379399	471	73.78094196	17.3	11	29.9	43.38	2.271	0.0197	0.7419	300	438	262
LGHB2	36	3	Plante	Hors brule	Plante_Hors brule	8.44	7.51	4.38669396	1.710112095	471	77.0002985	20.5	12	35.5	43.61	2.339	0.0405	0.6955	299	432	269
LGB3	37	3	Plante	Brule	Plante_Brule	8.39	7.65	2.71396966	1.425805092	571	83.303442	14.8	10	25.6	41.54	1.814	0.0225	0.5397	236	507	257
LGHB3	38	3	Plante	Hors brule	Plante_Hors brule	8.43	7.62	2.72366468	1.555511206	575	86.47118568	17.5	11	30.3	41.75	1.781	0.0392	0.5677	250	502	248
LGB4	39	3	Plante	Brule	Plante_Brule	8.22	7.44	3.5562008	2.109510601	314	61.49468422	23.8	11	41.2	48.43	3.71	0.0274	0.9219	410	367	223
LGHB4	40	3	Plante	Hors brule	Plante_Hors brule	8.34	7.51	3.38981779	2.089466155	341	66.5580225	25.6	12	44.3	46.48	3.65	0.0381	0.761	390	360	250
SLGB1	41	3	Spontane	Brule	Spontane_Brule	8.01	7.51	20.3127935	3.803552091	630	116.7701435	41.2	11	71.3	45.01	1.869	0.0301	0.463	308	506	186
SLGHB1	42	3	Spontane	Hors brule	Spontane_Hors brule	8.18	7.55	6.29812897	2.540611327	687	111.757822	29.3	12	50.7	42.04	1.846	0.0354	0.458	290	532	178
SLGB2	43	3	Spontane	Brule	Spontane_Brule	8.17	7.72	5.03440573	3.017129898	407	82.63678551	33.8	11	58.5	35.91	1.925	0.0216	0.2472	196	281	523
SLGHB2	44	3	Spontane	Hors brule	Spontane_Hors brule	8.11	7.73	4.81532761	3.089981377	381	81.55083656	35.8	12	61.9	36.27	2.34	0.024	0.2463	204	296	500
SMB1	45	4	Plante	Brule	Plante_Brule	8.15	7.51	40.098344	2.438572645	460	81.9552803	26.8	11	46.4	44.68	1.392	0.0276	0.9496	341	412	247
SMHB1	46	4	Plante	Hors brule	Plante_Hors brule	8.03	7.42	35.2641177	2.517622411	458	82.33257294	27.4	11	47.4	45.89	0.9825	0.0422	0.892	362	399	239
SMB2	47	4	Plante	Brule	Plante_Brule	8.26	7.55	31.6464282	2.44436726	399	74.28853512	26.4	11	45.7	44.61	1.433	0.0235	1.183	369	418	213
SMHB2	48	4	Plante	Hors brule	Plante_Hors brule	8.21	7.43	27.3014705	2.449678034	413	73.94832134	24.4	10	42.2	45.66	0.9257	0.0281	0.9697	389	415	196
SMB3	49	4	Plante	Brule	Plante_Brule	8.21	7.44	31.4070121	2.361769676	377	69.29266453	24.1	10	41.7	45.78	1.26	0.022	1.063	361	430	209
SMHB3	50	4	Plante	Hors brule	Plante_Hors brule	8.11	7.38	35.5088442	2.821541727	373	74.96281147	30.2	11	52.2	45.87	1.236	0.0357	1.318	387	414	199
SMB4	51	4	Plante	Brule	Plante_Brule	8.19	7.48	7.21191505	2.501782179	426	77.70204067	26.6	11	46	43.74	1.661	0.0263	0.5752	320	475	205
SMHB4	52	4	Plante	Hors brule	Plante_Hors brule	8.16	7.53	7.77026588	2.895109057	431	83.5364151	31.8	11	55	44.79	0.8906	0.0335	0.5666	327	465	208
FTB1	53	4	Spontane	Brule	Spontane_Brule	8.01	7.46	14.137479	3.906861246	455	102.452383	47.9	12	82.9	44.93	0.7152	0.0378	0.4793	315	323	362
FTBHB1	54	4	Spontane	Hors brule	Spontane_Hors brule	7.84	7.48	15.0098907	4.82352823	435	117.5052834	65.3	14	113	47.3	0.8931	0.0451	0.6209	331	277	392
FTB2	55	4	Spontane	Brule	Spontane_Brule	8.39	7.79	4.87502898	2.201973945	555	90.38960457	23.8	11	41.2	40.61	0.3755	0.0128	0.3417	279	379	342
FTHB2	56	4	Spontane	Hors brule	Spontane_Hors brule	8.14	7.68	7.38791959	3.256567121	549	106.495657	40.6	13	70.2	43.44	0.5246	0.0279	0.3641	260	346	394
FTB3	57	4	Spontane	Brule	Spontane_Brule	8.32	7.68	3.75975716	2.651184201	473	84.47546005	27.7	10	47.9	43.27	0.4346	0.0159	0.4022	305	394	301
FTHB3	58	4	Spontane	Hors brule	Spontane_Hors brule	8.15	7.55	5.09879053	2.957089245	461	98.98514748	43.7	15	75.6	46.27	0.6881	0.0361	0.4843	315	394	291
NMRB1	59	5	Plante	Brule	Plante_Brule	8.26	7.51	5.52403544	3.449191749	400	84.72916603	36.7	11	63.5	46.66	0.8209	0.0208	0.5341	246	490	264
NMRHB1	60	5	Plante	Hors brule	Plante_Hors brule	8.2	7.55	6.44214986	3.566481471	447	94.2672348	40.6	11	70.2	46.58	0.7178	0.0407	0.5088	253	431	316
